name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
Chris Morris,South Africa,35,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.39,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,chennai-super-kings,2013,36250000
Dirk Nannes,Australia,46,6.16828,bowler,right-handed-bat,left-arm-fast,3,22,11.0,122.22,0,1,1,2,4,4.0,30.77,0,0,0,28,7.52,16.39,13.07,28,7.3,28.04,23.04,chennai-super-kings,2013,34800000
Ben Laughlin,Australia,40,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,2,5,2.5,38.46,0,0,0,2,9.97,59.0,35.5,10,10.13,28.2,16.7,chennai-super-kings,2013,1160000
Akila Dananjaya,Sri Lanka,29,,bowler,left-handed-bat,right-arm-offbreak,7,61,7.62,85.92,0,6,0,1,4,0.0,80.0,0,0,0,28,8.2,32.46,23.75,0,11.75,0.0,0.0,chennai-super-kings,2013,1160000
Jason Holder,West Indies,31,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,9,385,15.4,120.69,0,23,21,5,247,13.0,124.12,0,13,17,51,8.17,26.86,19.73,49,8.57,24.02,16.82,chennai-super-kings,2013,1160000
Johan Botha,Australia,40,,bowling-allrounder,right-handed-bat,right-arm-offbreak,9,201,18.27,121.82,0,15,9,8,409,20.45,113.93,1,39,5,37,6.38,22.24,20.92,25,6.92,32.0,27.76,delhi-capitals,2013,26100000
Jesse Ryder,New Zealand,38,,batting-allrounder,left-handed-bat,right-arm-medium,1,457,22.85,127.65,3,47,18,1,604,21.57,131.88,4,69,19,2,6.8,34.0,30.0,8,7.7,37.88,29.5,delhi-capitals,2013,15080000
Jeevan Mendis,Sri Lanka,39,,bowling-allrounder,left-handed-bat,right-arm-legbreak,4,208,18.91,119.54,0,18,6,0,23,7.67,85.19,0,0,0,12,7.11,20.75,17.5,1,7.2,36.0,30.0,delhi-capitals,2013,2900000
Manpreet Gony,India,38,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,7,99,9.9,139.44,0,6,8,-,-,-,-,37,8.7,34.78,24.0,punjab-kings,2013,29000000
Luke Pomersbach,Australia,38,5.84018,batsman,left-handed-bat,right-arm-offbreak,0,15,15.0,214.29,0,1,1,5,302,27.45,122.76,1,25,13,-,-,-,-,-,-,-,-,punjab-kings,2013,17400000
Sachithra Senanayake,Sri Lanka,37,,bowler,right-handed-bat,right-arm-offbreak,6,56,9.33,84.85,0,3,1,3,10,10.0,58.82,0,0,0,25,6.78,21.96,19.44,9,6.53,23.22,21.33,kolkata-knight-riders,2013,36250000
Ryan McLaren,South Africa,39,,bowling-allrounder,left-handed-bat,right-arm-fast-medium,3,9,9.0,69.23,0,0,0,5,159,19.88,92.98,1,14,1,17,7.57,19.53,15.47,12,9.19,45.17,29.5,kolkata-knight-riders,2013,2900000
Glenn Maxwell,Australia,34,,batting-allrounder,right-handed-bat,right-arm-offbreak,14,2159,28.41,150.98,10,176,106,15,2319,25.48,153.88,13,197,127,39,7.46,27.59,22.18,28,8.24,38.57,28.07,mumbai-indians,2013,58000000
Nathan Coulter-Nile,Australia,35,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,mumbai-indians,2013,26100000
Ricky Ponting,Australia,47,5.84018,batsman,right-handed-bat,right-arm-medium,2,401,28.64,132.78,2,41,11,0,91,10.11,71.09,0,5,2,-,-,-,-,-,-,-,-,mumbai-indians,2013,23200000
Jacob Oram,New Zealand,44,6.49638,bowling-allrounder,left-handed-bat,right-arm-fast-medium,7,474,20.61,139.82,2,38,22,4,106,13.25,98.15,0,6,5,19,8.73,41.79,28.74,9,8.84,38.78,26.33,mumbai-indians,2013,2900000
James Faulkner,Australia,32,6.10266,bowling-allrounder,right-handed-bat,left-arm-fast-medium,7,159,14.45,115.22,0,7,5,20,527,21.08,135.82,0,36,23,36,7.97,19.0,14.31,59,8.69,30.14,20.8,rajasthan-royals,2013,23200000
Fidel Edwards,West Indies,40,,bowler,right-handed-bat,right-arm-fast,4,11,5.5,78.57,0,1,0,1,4,4.0,80.0,0,0,0,20,8.24,30.85,22.45,5,6.6,30.8,28.0,rajasthan-royals,2013,12180000
Jaydev Unadkat,India,31,,bowler,right-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,14,164,13.67,123.31,0,13,6,14,8.68,21.5,14.86,91,8.79,30.53,20.84,royal-challengers-bangalore,2013,30450000
RP Singh,India,36,,bowler,right-handed-bat,left-arm-fast-medium,2,3,0.0,100.0,0,0,0,15,52,3.47,68.42,0,2,1,15,6.82,15.0,13.2,90,7.9,25.98,19.72,royal-challengers-bangalore,2013,23200000
Moises Henriques,Australia,35,6.135470000000001,batting-allrounder,right-handed-bat,right-arm-fast-medium,4,355,20.88,124.56,2,17,15,18,1000,27.78,126.9,5,87,28,7,8.43,27.71,19.71,42,8.14,30.69,22.62,royal-challengers-bangalore,2013,17400000
Ravi Rampaul,West Indies,38,,bowler,left-handed-bat,right-arm-fast-medium,5,15,7.5,51.72,0,0,0,2,51,10.2,102.0,0,3,2,31,8.38,25.9,18.55,14,6.82,21.29,18.71,royal-challengers-bangalore,2013,16820000
Pankaj Singh,India,37,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,3,7,3.5,58.33,0,0,0,-,-,-,-,11,9.36,42.55,27.27,royal-challengers-bangalore,2013,8700000
Daniel Christian,Australia,39,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.88,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,royal-challengers-bangalore,2013,5800000
Thisara Perera,Sri Lanka,33,6.1,bowling-allrounder,left-handed-bat,right-arm-fast-medium,22,1204,23.15,151.64,3,88,64,8,422,19.18,137.46,0,23,26,51,9.35,33.67,21.61,31,8.73,32.77,22.52,sunrisers-hyderabad,2013,39150000
Daren Sammy,West Indies,38,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,sunrisers-hyderabad,2013,24650000
Sudeep Tyagi,India,35,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,2,3,3.0,75.0,0,0,0,0,10.5,0.0,0.0,6,8.47,49.17,34.83,sunrisers-hyderabad,2013,5800000
Clint McKay,Australia,39,6.36514,bowler,right-handed-bat,right-arm-fast-medium,2,19,9.5,86.36,0,1,1,0,8,8.0,53.33,0,0,0,4,8.07,45.75,34.0,1,8.57,60.0,42.0,sunrisers-hyderabad,2013,5800000
Nathan McCullum,New Zealand,42,,bowling-allrounder,right-handed-bat,right-arm-offbreak,15,299,11.5,100.67,0,19,8,1,26,26.0,118.18,0,0,1,58,6.83,22.03,19.36,0,6.8,0.0,0.0,sunrisers-hyderabad,2013,5800000
Quinton de Kock,South Africa,29,,wk-batsman,left-handed-bat,,9,2156,32.18,135.43,14,222,78,6,2764,32.14,133.91,19,277,106,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2013,1160000
Faf du Plessis,South Africa,38,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,10,3403,34.37,130.58,25,314,109,0,2.25,0.0,0.0,0,16.0,0.0,0.0,chennai-super-kings,2014,47500000
Dwayne Smith,West Indies,39,,batting-allrounder,right-handed-bat,right-arm-medium,0,582,18.19,122.27,3,62,31,5,2385,28.39,135.2,17,245,117,7,8.96,30.29,20.29,26,9.02,31.15,20.73,chennai-super-kings,2014,45000000
Brendon McCullum,New Zealand,41,,wk-batsman,right-handed-bat,,10,2140,35.67,136.22,13,199,91,5,2880,27.69,131.75,13,293,130,-,-,-,-,-,-,-,-,chennai-super-kings,2014,32500000
Ashish Nehra,India,43,,bowler,right-handed-bat,left-arm-fast-medium,0,28,5.6,71.79,0,1,2,15,41,5.86,66.13,0,3,1,34,7.73,22.29,17.29,106,7.85,23.54,18.0,chennai-super-kings,2014,20000000
Mohit Sharma,India,34,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,12,122,8.13,104.27,0,8,4,6,8.04,30.83,23.0,92,8.45,26.85,19.07,chennai-super-kings,2014,20000000
Ben Hilfenhaus,Australia,39,6.10266,bowler,right-handed-bat,right-arm-fast-medium,1,2,1.0,20.0,0,0,0,1,0,0.0,0.0,0,0,0,9,6.19,17.89,17.33,22,7.73,21.77,16.91,chennai-super-kings,2014,10000000
John Hastings,Australia,37,6.39795,bowling-allrounder,right-handed-bat,right-arm-fast-medium,2,46,11.5,124.32,0,3,1,-,-,-,-,-,-,-,7,7.97,35.29,26.57,3,6.83,22.0,19.33,chennai-super-kings,2014,5000000
Samuel Badree,West Indies,41,,bowler,right-handed-bat,right-arm-legbreak,10,43,7.17,66.15,0,1,1,0,13,2.6,56.52,0,0,0,56,6.18,21.07,20.46,11,7.42,29.0,23.45,chennai-super-kings,2014,3000000
Matt Henry,New Zealand,30,,bowler,right-handed-bat,right-arm-fast-medium,1,10,10.0,200.0,0,2,0,-,-,-,-,-,-,-,7,8.68,27.29,18.86,1,14.2,71.0,30.0,chennai-super-kings,2014,3000000
Mithun Manhas,India,43,,batting-allrounder,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,15,514,22.35,109.36,0,43,10,-,-,-,-,0,6.0,0.0,0.0,chennai-super-kings,2014,3000000
Vijay Shankar,India,31,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,12,731,23.58,122.04,3,46,28,5,9.1,38.2,25.2,9,8.67,38.22,26.44,chennai-super-kings,2014,1000000
Ronit More,India,30,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,1,2,0.0,100.0,0,0,0,-,-,-,-,1,10.11,59.0,35.0,chennai-super-kings,2014,1000000
Pawan Negi,India,29,,bowling-allrounder,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,chennai-super-kings,2014,1000000
Dinesh Karthik,India,37,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,45,4376,26.85,132.65,20,426,134,0,18.0,0.0,0.0,-,-,-,-,delhi-capitals,2014,125000000
Kevin Pietersen,England,42,6.4,batsman,right-handed-bat,right-arm-offbreak,5,1176,37.94,141.52,7,119,32,8,1001,35.75,134.72,4,91,40,1,10.6,53.0,30.0,7,7.41,30.71,24.86,delhi-capitals,2014,90000000
Murali Vijay,India,38,,batsman,right-handed-bat,right-arm-offbreak,0,169,18.78,109.74,0,13,8,5,2619,25.93,121.87,13,247,91,0,4.5,0.0,0.0,0,8.17,0.0,0.0,delhi-capitals,2014,50000000
Mohammed Shami,India,32,,bowler,right-handed-bat,right-arm-fast-medium,2,0,0.0,0.0,0,0,0,12,69,6.27,94.52,0,5,2,24,8.94,29.62,19.88,99,8.52,29.19,20.57,delhi-capitals,2014,42500000
Nathan Coulter-Nile,Australia,35,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,delhi-capitals,2014,42500000
Quinton de Kock,South Africa,29,,wk-batsman,left-handed-bat,,9,2156,32.18,135.43,14,222,78,6,2764,32.14,133.91,19,277,106,-,-,-,-,-,-,-,-,delhi-capitals,2014,35000000
Manoj Tiwary,India,37,,batsman,right-handed-bat,right-arm-legbreak,0,15,15.0,88.24,0,0,0,26,1695,28.73,116.98,7,156,40,-,-,-,-,1,11.86,83.0,42.0,delhi-capitals,2014,28000000
Jaydev Unadkat,India,31,,bowler,right-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,14,164,13.67,123.31,0,13,6,14,8.68,21.5,14.86,91,8.79,30.53,20.84,delhi-capitals,2014,28000000
Jean-Paul Duminy,South Africa,38,,batting-allrounder,left-handed-bat,right-arm-offbreak,25,1934,38.68,126.24,11,138,71,26,2029,39.78,124.02,14,126,79,21,7.76,28.52,22.05,23,7.38,36.26,29.48,delhi-capitals,2014,22000000
Ross Taylor,New Zealand,38,,batsman,right-handed-bat,right-arm-offbreak,19,1909,25.45,122.37,7,122,71,14,1017,25.43,123.72,3,66,46,-,-,-,-,0,12.0,0.0,0.0,delhi-capitals,2014,20000000
Kedar Jadhav,India,37,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,122,20.33,123.23,1,12,3,26,1196,22.15,123.17,4,101,40,-,-,-,-,-,-,-,-,delhi-capitals,2014,20000000
Rahul Sharma,India,35,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,6,66,4.71,88.0,0,5,3,3,7.64,18.67,14.67,40,7.02,27.15,23.2,delhi-capitals,2014,19000000
Mayank Agarwal,India,31,,batsman,right-handed-bat,,-,-,-,-,-,-,-,4,2331,22.63,134.51,12,227,91,-,-,-,-,-,-,-,-,delhi-capitals,2014,16000000
James Neesham,New Zealand,32,,batting-allrounder,left-handed-bat,right-arm-medium,17,688,22.19,159.63,0,49,41,1,92,10.22,98.92,0,6,2,25,9.13,30.12,19.8,8,9.28,41.75,27.0,delhi-capitals,2014,10000000
Wayne Parnell,South Africa,33,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,13,168,21.0,97.67,0,13,4,4,63,7.0,84.0,0,4,1,57,8.11,24.6,18.19,26,7.35,26.96,22.0,delhi-capitals,2014,10000000
Shahbaz Nadeem,India,33,,bowler,right-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,8,39,2.79,44.83,0,2,0,-,-,-,-,48,7.56,37.17,29.48,delhi-capitals,2014,8500000
Saurabh Tiwary,India,32,,batsman,left-handed-bat,,-,-,-,-,-,-,-,22,1494,28.73,120.1,8,111,50,-,-,-,-,-,-,-,-,delhi-capitals,2014,7000000
Siddarth Kaul,India,32,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,8,20,5.0,55.56,0,1,0,4,8.69,21.0,14.5,58,8.63,29.98,20.84,delhi-capitals,2014,4500000
Rahul Shukla,India,32,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,3,19,19.0,82.61,0,2,0,-,-,-,-,5,10.4,41.6,24.0,delhi-capitals,2014,4000000
Jayant Yadav,India,32,,bowler,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,1,40,10.0,111.11,0,2,1,-,-,-,-,8,6.87,52.38,45.75,delhi-capitals,2014,1000000
Mitchell Johnson,Australia,41,6.20109,bowler,left-handed-bat,left-arm-fast,7,109,10.9,114.74,0,8,3,17,167,12.85,101.83,0,10,7,38,7.29,20.97,17.26,61,8.29,27.9,20.2,punjab-kings,2014,65000000
Glenn Maxwell,Australia,34,,batting-allrounder,right-handed-bat,right-arm-offbreak,14,2159,28.41,150.98,10,176,106,15,2319,25.48,153.88,13,197,127,39,7.46,27.59,22.18,28,8.24,38.57,28.07,punjab-kings,2014,60000000
George Bailey,Australia,40,5.84018,batsman,right-handed-bat,right-arm-medium,7,473,24.89,136.71,2,37,20,10,663,24.56,121.88,2,59,19,-,-,-,-,-,-,-,-,punjab-kings,2014,32500000
Virender Sehwag,India,44,,batsman,right-handed-bat,right-arm-offbreak,0,394,21.89,145.39,2,43,16,5,2728,27.56,155.44,16,334,106,0,20.0,0.0,0.0,6,10.37,39.17,22.67,punjab-kings,2014,32000000
Rishi Dhawan,India,32,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,1,0.0,50.0,0,0,0,12,190,21.11,108.57,0,17,6,1,10.5,42.0,24.0,24,7.93,33.17,25.08,punjab-kings,2014,30000000
